date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:12	2885/2885	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%229c01a901ea9d1aad593685684eaf1c47%22	https://studia.ai/robots.txt		(from )
18:35:12	50003/50003	---MCZ	200	added ('OK')	text/html	etag:W/%22a5ca2add18529ea4143ae5d05650b3e0%22	https://studia.ai/	C:/My%20Web%20Sites/Studia%20AI/studia.ai/index.html	(from )
18:35:12	48556/48556	---M--	200	added ('OK')	font/woff2	etag:%22d4fe31e6a2aebc06b8d6e558c9141119%22	https://studia.ai/_next/static/media/a34f9d1faa5f3315-s.p.woff2	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/media/a34f9d1faa5f3315-s.p.woff2	(from https://studia.ai/)
18:35:12	61647/61647	---MCZ	200	added ('OK')	text/css	etag:W/%228db65d936b1371a7144331606b679669%22	https://studia.ai/_next/static/css/108823ae8eada08a.css	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/css/108823ae8eada08a.css	(from https://studia.ai/)
18:35:13	14522/14522	---MCZ	200	added ('OK')	text/css	etag:W/%22a7c516c1197f7f07cc6575bac83f6e09%22	https://studia.ai/_next/static/css/b7cd90734583743e.css	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/css/b7cd90734583743e.css	(from https://studia.ai/)
18:35:13	3638/3638	---MCZ	200	added ('OK')	application/javascript	etag:W/%2250ac3d59c0014b07c790a0cbb4eac6c5%22	https://studia.ai/_next/static/chunks/webpack-0ae118e6b2a5bc4b.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/webpack-0ae118e6b2a5bc4b.js	(from https://studia.ai/)
18:35:14	167090/167090	---MCZ	200	added ('OK')	application/javascript	etag:W/%2288ff9909ecc76c006775850d6538e77f%22	https://studia.ai/_next/static/chunks/1606ac57-90dfd38af0a711e8.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/1606ac57-90dfd38af0a711e8.js	(from https://studia.ai/)
18:35:14	200106/200106	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f7b69da9f7805f720608756b400b9a05%22	https://studia.ai/_next/static/chunks/29-1d8613593591f3c9.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/29-1d8613593591f3c9.js	(from https://studia.ai/)
18:35:14	461/461	---M--	200	added ('OK')	application/javascript	etag:%222b8e9317871ba7cf90259ff6372583e7%22	https://studia.ai/_next/static/chunks/main-app-16ae92850f0c910a.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/main-app-16ae92850f0c910a.js	(from https://studia.ai/)
18:35:15	68779/68779	---MCZ	200	added ('OK')	application/javascript	etag:W/%22633049bc0eab92a7869fc0c3fd765bd1%22	https://studia.ai/_next/static/chunks/749-c488ccd2cbc343d0.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/749-c488ccd2cbc343d0.js	(from https://studia.ai/)
